"country","iso","freedom","kinship","log_gdppc","log_pop","urban_pct","trade","internet","unemp","log_oilrent","log_gdppc_c"
"Estonia","EST","Free",0.293877512216568,9.95338660136682,14.1147555217805,70.4892333736738,175.68711950524,91.5202,5.571,0.674081181100926,1.26400574739363
"Ethiopia","ETH","Not Free",0.785104513168335,6.69848717847361,18.6468938752817,22.7367687225342,26.5954996967313,16.6981,3.409,0,-1.99089367549958
"Finland","FIN","Free",0.0627816170454025,10.7367476836518,15.5304080611481,73.6967597835949,94.5625340522667,92.9888,6.719,0.0446209987922121,2.04736682967861
"France","FRA","Free",0.196896329522133,10.5679350677669,18.037727193614,78.7591921123356,75.9630077981996,85.3333,7.308,0.00707708495952242,1.87855421379369
"Gabon","GAB","Not Free",0.918410122394562,8.78377655510863,14.7037091754842,91.2243355459988,92.0630888500131,70.7069,20.399,2.80677932656331,0.0943957011354311
"United Kingdom of Great Britain and Northern Ireland (the)","GBR","Free",0.0233560912311077,10.787936881634,18.0291777108603,83.0753982997505,69.1989264413981,96.2989,3.73,0.347936331529569,2.09855602766077
"Georgia","GEO","Partly Free",0.887680172920227,8.65457046590989,15.1272166008135,60.0101622679115,114.695437688718,78.7113,11.647,0.0288740260798188,-0.0348103880633026
"Ghana","GHA","Free",0.867314457893372,7.63395464751255,17.3165276935751,57.250609602871,70.1154557958907,69.3607,3.084,1.62038164632564,-1.05542620646064
"Guinea","GIN","Not Free",0.922457098960876,6.89517902990152,16.4584985096961,37.2384967469106,94.1652726931221,24.6954,5.267,0,-1.79420182407167
"Gambia (the)","GMB","Partly Free",0.985169947147369,6.56623207859609,14.7849514591661,63.2869880996278,44.7219215369466,44.0389,6.076,0,-2.1231487753771
"Guinea-Bissau","GNB","Partly Free",0.914377152919769,6.62393390877044,14.5600772999398,45.1627159118652,45.7584952252858,27.5672,2.666,0,-2.06544694520275
"Equatorial Guinea","GNQ","Not Free",0.974866628646851,8.61690152590422,14.4052647304977,70.8910029445467,81.8130161368099,59.3433,8.455,2.76883306185419,-0.0724793280689724
"Greece","GRC","Free",0.2500259578228,9.93072922219965,16.1608564368075,78.5502190980809,108.121843229922,83.1707,12.426,0.0116250248266341,1.24134836822645
"Guatemala","GTM","Partly Free",0.567186832427979,8.38597886358668,16.6973951235423,55.2581228215265,54.4310384820058,55.4086,3.051,0.111666623020819,-0.30340199038651
"Honduras","HND","Partly Free",0.19850717484951,7.81691015067728,16.1634391201884,57.8364689017254,112.698524913966,56.3896,8.774,0.0010110191517256,-0.872470703295916
"Croatia","HRV","Free",0.999907851219177,9.71824841498798,15.1650478287186,56.9977571733605,125.410877974694,82.0716,6.96,0.24713975459143,1.02886756101478
"Haiti","HTI","Not Free",0.456467986106873,7.13626157378801,16.2581711093996,53.8524949966907,36.529550283828,39.262,14.635,0,-1.55311928018518
"Hungary","HUN","Partly Free",0.489696860313416,9.71037583438189,16.0778020584758,70.1585064243445,185.000204092698,89.1428,3.609,0.168803565990497,1.0209949804087
"Indonesia","IDN","Partly Free",0.447628021240234,8.30025838908929,19.4461147322905,57.4934704226599,45.4646701959453,66.4846,3.462,0.56873314940841,-0.389122464883902
"India","IND","Partly Free",0.776114284992218,7.648840472525,21.0777345974512,34.7555673994206,50.0752701498882,55.9,4.822,0.281872877279138,-1.0405403814482
"Ireland","IRL","Free",0.246499806642532,11.4906137665913,15.4666346034434,63.8920250215059,237.755419559378,96.6206,4.501,0.00194276840921881,2.8012329126181
